loss now: tensor(8363.2354, grad_fn=<AddBackward0>)
loss now: tensor(8236.8115, grad_fn=<AddBackward0>)
loss now: tensor(8124.3369, grad_fn=<AddBackward0>)
loss now: tensor(8010.6514, grad_fn=<AddBackward0>)
loss now: tensor(7886.7358, grad_fn=<AddBackward0>)
loss now: tensor(7748.6089, grad_fn=<AddBackward0>)
loss now: tensor(7594.5288, grad_fn=<AddBackward0>)
loss now: tensor(7420.5630, grad_fn=<AddBackward0>)
loss now: tensor(7224.6543, grad_fn=<AddBackward0>)
loss now: tensor(7011.8037, grad_fn=<AddBackward0>)
loss now: tensor(6788.0947, grad_fn=<AddBackward0>)
loss now: tensor(6559.2231, grad_fn=<AddBackward0>)
loss now: tensor(6329.1279, grad_fn=<AddBackward0>)
loss now: tensor(6098.5581, grad_fn=<AddBackward0>)
loss now: tensor(5869.1328, grad_fn=<AddBackward0>)
loss now: tensor(5644.6470, grad_fn=<AddBackward0>)
loss now: tensor(5432.8252, grad_fn=<AddBackward0>)
loss now: tensor(5244.1953, grad_fn=<AddBackward0>)
loss now: tensor(5085.7798, grad_fn=<AddBackward0>)
loss now: tensor(4956.9048, grad_fn=<AddBackward0>)

Week 1 finished!

loss now: tensor(4856.0815, grad_fn=<AddBackward0>)
loss now: tensor(4768.7734, grad_fn=<AddBackward0>)
loss now: tensor(4695.4785, grad_fn=<AddBackward0>)
loss now: tensor(4634.6011, grad_fn=<AddBackward0>)
loss now: tensor(4585.4155, grad_fn=<AddBackward0>)
loss now: tensor(4545.4399, grad_fn=<AddBackward0>)
loss now: tensor(4511.1416, grad_fn=<AddBackward0>)
loss now: tensor(4479.5879, grad_fn=<AddBackward0>)
loss now: tensor(4448.2554, grad_fn=<AddBackward0>)
loss now: tensor(4416.0664, grad_fn=<AddBackward0>)
loss now: tensor(4382.2939, grad_fn=<AddBackward0>)
loss now: tensor(4346.8389, grad_fn=<AddBackward0>)
loss now: tensor(4310.2051, grad_fn=<AddBackward0>)
loss now: tensor(4272.9790, grad_fn=<AddBackward0>)
loss now: tensor(4235.7959, grad_fn=<AddBackward0>)
loss now: tensor(4199.3975, grad_fn=<AddBackward0>)
loss now: tensor(4164.5913, grad_fn=<AddBackward0>)
loss now: tensor(4131.1611, grad_fn=<AddBackward0>)
loss now: tensor(4098.6992, grad_fn=<AddBackward0>)
loss now: tensor(4067.1338, grad_fn=<AddBackward0>)

Week 2 finished!

loss now: tensor(4040.2505, grad_fn=<AddBackward0>)
loss now: tensor(4011.3867, grad_fn=<AddBackward0>)
loss now: tensor(3983.9714, grad_fn=<AddBackward0>)
loss now: tensor(3958.3735, grad_fn=<AddBackward0>)
loss now: tensor(3934.7629, grad_fn=<AddBackward0>)
loss now: tensor(3912.9636, grad_fn=<AddBackward0>)
loss now: tensor(3892.5669, grad_fn=<AddBackward0>)
loss now: tensor(3873.0608, grad_fn=<AddBackward0>)
loss now: tensor(3854.3008, grad_fn=<AddBackward0>)
loss now: tensor(3836.0996, grad_fn=<AddBackward0>)
loss now: tensor(3818.3687, grad_fn=<AddBackward0>)
loss now: tensor(3801.0857, grad_fn=<AddBackward0>)
loss now: tensor(3784.3357, grad_fn=<AddBackward0>)
loss now: tensor(3768.1438, grad_fn=<AddBackward0>)
loss now: tensor(3752.3303, grad_fn=<AddBackward0>)
loss now: tensor(3736.8132, grad_fn=<AddBackward0>)
loss now: tensor(3721.3645, grad_fn=<AddBackward0>)
loss now: tensor(3705.8306, grad_fn=<AddBackward0>)
loss now: tensor(3689.9993, grad_fn=<AddBackward0>)
loss now: tensor(3673.8018, grad_fn=<AddBackward0>)

Week 3 finished!

loss now: tensor(3654.5559, grad_fn=<AddBackward0>)
loss now: tensor(3637.4812, grad_fn=<AddBackward0>)
loss now: tensor(3619.6807, grad_fn=<AddBackward0>)
loss now: tensor(3601.3579, grad_fn=<AddBackward0>)
loss now: tensor(3582.5901, grad_fn=<AddBackward0>)
loss now: tensor(3562.9529, grad_fn=<AddBackward0>)
loss now: tensor(3542.4209, grad_fn=<AddBackward0>)
loss now: tensor(3521.2415, grad_fn=<AddBackward0>)
loss now: tensor(3499.1646, grad_fn=<AddBackward0>)
loss now: tensor(3476.2297, grad_fn=<AddBackward0>)
loss now: tensor(3452.3931, grad_fn=<AddBackward0>)
loss now: tensor(3427.6880, grad_fn=<AddBackward0>)
loss now: tensor(3402.1575, grad_fn=<AddBackward0>)
loss now: tensor(3375.6199, grad_fn=<AddBackward0>)
loss now: tensor(3348.1023, grad_fn=<AddBackward0>)
loss now: tensor(3319.5435, grad_fn=<AddBackward0>)
loss now: tensor(3289.9878, grad_fn=<AddBackward0>)
loss now: tensor(3259.7141, grad_fn=<AddBackward0>)
loss now: tensor(3228.5791, grad_fn=<AddBackward0>)
loss now: tensor(3196.5989, grad_fn=<AddBackward0>)

Week 4 finished!

loss now: tensor(3161.3506, grad_fn=<AddBackward0>)
loss now: tensor(3128.1951, grad_fn=<AddBackward0>)
loss now: tensor(3094.6602, grad_fn=<AddBackward0>)
loss now: tensor(3061.1050, grad_fn=<AddBackward0>)
loss now: tensor(3027.6108, grad_fn=<AddBackward0>)
loss now: tensor(2994.5156, grad_fn=<AddBackward0>)
loss now: tensor(2962.4268, grad_fn=<AddBackward0>)
loss now: tensor(2932.3000, grad_fn=<AddBackward0>)
loss now: tensor(2903.7737, grad_fn=<AddBackward0>)
loss now: tensor(2873.1699, grad_fn=<AddBackward0>)
loss now: tensor(2842.8513, grad_fn=<AddBackward0>)
loss now: tensor(2816.6758, grad_fn=<AddBackward0>)
loss now: tensor(2791.3142, grad_fn=<AddBackward0>)
loss now: tensor(2764.0166, grad_fn=<AddBackward0>)
loss now: tensor(2738.0938, grad_fn=<AddBackward0>)
loss now: tensor(2714.9448, grad_fn=<AddBackward0>)
loss now: tensor(2692.4854, grad_fn=<AddBackward0>)
loss now: tensor(2668.9658, grad_fn=<AddBackward0>)
loss now: tensor(2645.1619, grad_fn=<AddBackward0>)
loss now: tensor(2623.0266, grad_fn=<AddBackward0>)

Week 5 finished!

loss now: tensor(2620.1394, grad_fn=<AddBackward0>)
loss now: tensor(2602.1079, grad_fn=<AddBackward0>)
loss now: tensor(2582.1797, grad_fn=<AddBackward0>)
loss now: tensor(2562.5413, grad_fn=<AddBackward0>)
loss now: tensor(2545.9170, grad_fn=<AddBackward0>)
loss now: tensor(2529.3870, grad_fn=<AddBackward0>)
loss now: tensor(2511.3242, grad_fn=<AddBackward0>)
loss now: tensor(2493.8108, grad_fn=<AddBackward0>)
loss now: tensor(2477.5703, grad_fn=<AddBackward0>)
loss now: tensor(2463.7554, grad_fn=<AddBackward0>)
loss now: tensor(2451.1475, grad_fn=<AddBackward0>)
loss now: tensor(2435.1614, grad_fn=<AddBackward0>)
loss now: tensor(2418.2927, grad_fn=<AddBackward0>)
loss now: tensor(2406.2700, grad_fn=<AddBackward0>)
loss now: tensor(2395.0264, grad_fn=<AddBackward0>)
loss now: tensor(2380.7117, grad_fn=<AddBackward0>)
loss now: tensor(2367.2844, grad_fn=<AddBackward0>)
loss now: tensor(2356.3726, grad_fn=<AddBackward0>)
loss now: tensor(2344.5254, grad_fn=<AddBackward0>)
loss now: tensor(2332.3774, grad_fn=<AddBackward0>)

Week 6 finished!

loss now: tensor(2354.7712, grad_fn=<AddBackward0>)
loss now: tensor(2342.0403, grad_fn=<AddBackward0>)
loss now: tensor(2330.0691, grad_fn=<AddBackward0>)
loss now: tensor(2319.8975, grad_fn=<AddBackward0>)
loss now: tensor(2310.2441, grad_fn=<AddBackward0>)
loss now: tensor(2298.8796, grad_fn=<AddBackward0>)
loss now: tensor(2286.6345, grad_fn=<AddBackward0>)
loss now: tensor(2275.4448, grad_fn=<AddBackward0>)
loss now: tensor(2264.3513, grad_fn=<AddBackward0>)
loss now: tensor(2253.3955, grad_fn=<AddBackward0>)
loss now: tensor(2243.4551, grad_fn=<AddBackward0>)
loss now: tensor(2233.6880, grad_fn=<AddBackward0>)
loss now: tensor(2223.0649, grad_fn=<AddBackward0>)
loss now: tensor(2212.6113, grad_fn=<AddBackward0>)
loss now: tensor(2203.6411, grad_fn=<AddBackward0>)
loss now: tensor(2195.4958, grad_fn=<AddBackward0>)
loss now: tensor(2187.4773, grad_fn=<AddBackward0>)
loss now: tensor(2180.2422, grad_fn=<AddBackward0>)
loss now: tensor(2174.5669, grad_fn=<AddBackward0>)
loss now: tensor(2168.9717, grad_fn=<AddBackward0>)

Week 7 finished!

loss now: tensor(2162.9795, grad_fn=<AddBackward0>)
loss now: tensor(2150.5693, grad_fn=<AddBackward0>)
loss now: tensor(2141.1877, grad_fn=<AddBackward0>)
loss now: tensor(2132.9692, grad_fn=<AddBackward0>)
loss now: tensor(2123.1555, grad_fn=<AddBackward0>)
loss now: tensor(2113.4331, grad_fn=<AddBackward0>)
loss now: tensor(2106.2644, grad_fn=<AddBackward0>)
loss now: tensor(2100.1602, grad_fn=<AddBackward0>)
loss now: tensor(2092.4768, grad_fn=<AddBackward0>)
loss now: tensor(2083.2251, grad_fn=<AddBackward0>)
loss now: tensor(2074.2964, grad_fn=<AddBackward0>)
loss now: tensor(2067.7991, grad_fn=<AddBackward0>)
loss now: tensor(2062.5955, grad_fn=<AddBackward0>)
loss now: tensor(2056.3582, grad_fn=<AddBackward0>)
loss now: tensor(2049.2451, grad_fn=<AddBackward0>)
loss now: tensor(2041.9719, grad_fn=<AddBackward0>)
loss now: tensor(2035.1259, grad_fn=<AddBackward0>)
loss now: tensor(2029.4390, grad_fn=<AddBackward0>)
loss now: tensor(2024.4790, grad_fn=<AddBackward0>)
loss now: tensor(2018.9537, grad_fn=<AddBackward0>)
